name,lat,lng,address,spec
安禾聯合診所,25.0621266,121.544137,臺北市松山區民權東路三段一七八號三樓,"內科,兒科,西醫一般科,"

安兒康小兒專科診所,25.0537434,121.5485637,臺北市松山區敦化北路116號、118號、118號2樓,"兒科,"

黎博彥診所,25.05881,121.565715,臺北市松山區民生東路五段230號,"內科,兒科,"

康明哲小兒科內科診所,25.0606612,121.5641039,臺北市松山區三民路１３６巷１５號,"內科,兒科,"

張芳杰內兒科診所,25.0581589,121.5617476,臺北市松山區民生東路五段１３８巷７號,"內科,兒科,"

林忠志診所,25.0524924,121.5658521,臺北市松山區南京東路五段291巷20弄3之3號,"兒科,"

華南小兒科診所,25.0460006,121.5526904,臺北市松山區延吉街３０巷１５號,"兒科,"

長庚醫療財團法人台北長庚紀念醫院,25.0561976,121.550775,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"

洪小兒科診所,25.0480887,121.5646853,臺北市松山區市民大道五段１６５號１樓,"兒科,"

江崇萍小兒科診所,25.0523388,121.5643544,臺北市松山區南京東路五段２５１巷２４弄２７號,"兒科,"

三軍總醫院松山分院附設民眾診療服務處,25.054348,121.5576626,臺北市松山區健康路１３１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,臨床病理科,急診醫學科,牙醫一般科,"

松山內兒科診所,25.0490717,121.5650851,臺北市松山區八德路四段２５５號,"內科,兒科,"

蔡恭禮內兒科診所,25.0593624,121.5659984,臺北市松山區新東街28號之2,"內科,兒科,"

劉內兒科診所,25.058492,121.5621561,臺北市松山區民生東路五段148號、148之1號,"內科,兒科,"

車參薇小兒科診所,25.0481423,121.5562397,臺北市松山區八德路三段195號１樓,"兒科,"

博仁綜合醫院,25.0499703,121.5575603,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,西醫一般科,牙醫一般科,"

基督復臨安息日會醫療財團法人臺安醫院,25.0476829,121.5474831,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,"

榮恩耳鼻喉科小兒科聯合診所,25.0511463,121.5664497,臺北市松山區南京東路五段２５８號,"兒科,耳鼻喉科,"

詹前俊小兒科診所,25.0588966,121.5600439,臺北市松山區民生東路五段１０５號,"兒科,"

中山醫療社團法人中山醫院,25.036515,121.5499289,臺北市大安區仁愛路四段112巷11號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,復健科,麻醉科,放射診斷科,放射腫瘤科,整形外科,牙醫一般科,"

宏恩醫療財團法人宏恩綜合醫院,25.0381916,121.5466881,臺北市大安區仁愛路四段71巷1號、仁 愛路四段61號、仁愛路四段91巷16號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,復健科,麻醉科,放射診斷科,職業醫學科,牙醫一般科,"

禾馨新生婦幼診所,25.0258209,121.534547,臺北市大安區新生南路三段2號、2號2樓、2號3樓,"兒科,婦產科,麻醉科,"

中心診所醫療財團法人中心綜合醫院,25.0418516,121.5474838,臺北市大安區忠孝東路四段７７號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,牙醫一般科,"

延吉診所,25.0407626,121.5546565,臺北市大安區延吉街二四一巷二弄五號一樓,"兒科,"

陳志明診所,25.0249486,121.5456946,臺北市大安區和平東路二段３３７號,"兒科,"

劉建宏診所,25.02855,121.5461772,臺北市大安區大安路二段139號,"兒科,"

林繼國診所,25.0424121,121.5391212,臺北市大安區忠孝東路三段２１７巷１弄１２號１樓,"家庭醫學科,兒科,"

國泰醫療財團法人國泰綜合醫院,25.0371818,121.5527439,臺北市大安區仁愛路四段266巷6號，280號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,"

葉明憲小兒科診所,25.021088,121.528109,臺北市大安區羅斯福路三段１９１號２Ｆ,"兒科,"

臺北市立聯合醫院附設大安門診部,25.0215769,121.544274,臺北市大安區辛亥路3段15號,"兒科,"

大安林內科診所,25.0345963,121.5492446,臺北市大安區敦化南路一段３２１號５樓,"內科,兒科,"

蔡國仁內兒科診所,25.0429245,121.5406243,臺北市大安區忠孝東路三段２１７巷４弄２１號,"內科,兒科,"

尹書田醫療財團法人書田泌尿科眼科診所,25.0251834,121.5372485,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,"家庭醫學科,內科,外科,兒科,神經科,泌尿科,眼科,皮膚科,精神科,復健科,"

許靜瑛小兒科診所,25.0260775,121.5323691,臺北市大安區和平東路1段230號1樓,"兒科,"

黃禎祥診所,25.0236945,121.5286041,臺北市大安區師大路７１號,"家庭醫學科,兒科,"

呂小兒科診所,25.0289221,121.5538635,臺北市大安區通化街二十四巷六號一樓,"兒科,"

啟誠聯合診所,25.0247302,121.5429344,臺北市大安區和平東路二段120號1樓、2樓、3樓、4樓,"內科,兒科,神經科,皮膚科,復健科,"

黃文香兒科診所,25.0411706,121.5541777,臺北市大安區忠孝東路4段250號2樓之1,"兒科,"

安東診所,25.0252092,121.5429088,臺北市大安區和平東路2段229號(1樓、2樓),"兒科,"

健華診所,25.0250125,121.5448053,臺北市大安區和平東路2段299號(實際營業地址:1樓),"家庭醫學科,兒科,"

愛群小兒專科診所,25.0332009,121.5420203,臺北市大安區信義路3段170號2樓、170號2樓之1、172號2樓、172號2樓之1,"兒科,"

小禾馨小兒專科診所,25.025632,121.5346142,臺北市大安區新生南路三段4號,"兒科,"

愛群兒童成長診所,25.0336122,121.5430479,臺北市大安區信義路三段155號1、2樓,"兒科,婦產科,"

禾馨大安婦幼診所,25.0255359,121.534519,臺北市大安區新生南路3段4號2樓,"兒科,婦產科,"

圓山診所,25.0721497,121.5144821,臺北市大同區酒泉街131號(1樓),"家庭醫學科,兒科,"

